t,c,s,d,j,i,valor
1,1,1,7,2,11,1.0
1,1,1,9,1,13,1.0
1,1,1,13,2,13,1.0
1,1,1,15,1,13,1.0
1,1,1,16,2,13,1.0
1,1,1,19,2,11,1.0
1,1,1,21,1,13,1.0
1,1,1,21,2,4,1.0
1,2,1,6,1,13,1.0
1,2,1,6,2,4,1.0
1,2,1,15,2,4,1.0
1,2,1,30,1,13,1.0
1,2,1,30,2,12,1.0
1,2,2,8,1,12,1.0
1,2,2,9,2,12,1.0
1,3,1,5,1,4,1.0
1,3,1,7,1,4,1.0
1,3,2,19,1,12,1.0
1,5,1,5,2,4,1.0
1,5,2,16,1,12,1.0
1,6,2,8,2,12,1.0
1,8,1,13,1,4,1.0
1,9,1,20,1,41,1.0
1,9,1,20,2,41,1.0
1,9,1,22,1,41,1.0
1,9,1,22,2,41,1.0
1,10,1,27,1,41,1.0
1,10,1,27,2,41,1.0
1,10,1,29,1,41,1.0
1,10,1,29,2,41,1.0
2,1,1,24,1,9,1.0
2,1,2,6,2,6,1.0
2,1,2,9,1,6,1.0
2,2,2,13,2,6,1.0
2,2,3,7,1,6,1.0
2,3,2,14,1,16,1.0
2,3,2,15,2,16,1.0
2,3,2,16,1,6,1.0
2,3,2,17,1,6,1.0
2,3,2,21,1,6,1.0
2,3,2,30,2,6,1.0
2,3,3,28,1,6,1.0
2,3,3,28,2,6,1.0
2,4,2,6,1,6,1.0
2,4,2,21,2,6,1.0
2,4,2,26,1,6,1.0
2,4,2,26,2,6,1.0
2,4,3,7,2,6,1.0
2,5,1,9,2,17,1.0
2,5,1,13,1,17,1.0
2,5,1,14,2,17,1.0
2,5,1,20,2,17,1.0
2,5,1,29,1,17,1.0
2,5,1,30,1,17,1.0
2,5,2,8,1,16,1.0
2,5,2,8,2,6,1.0
2,5,2,16,2,6,1.0
2,5,2,20,1,16,1.0
2,6,2,15,1,6,1.0
2,8,1,5,1,17,1.0
2,8,1,5,2,17,1.0
2,8,1,23,1,17,1.0
2,8,1,23,2,17,1.0
2,8,1,29,2,4,1.0
2,9,1,27,1,41,1.0
2,9,1,27,2,41,1.0
2,10,1,19,1,41,1.0
2,10,1,19,2,41,1.0
2,10,1,22,1,41,1.0
2,10,1,22,2,41,1.0
3,1,2,27,1,6,1.0
3,1,2,29,1,16,1.0
3,1,2,30,1,6,1.0
3,1,3,14,1,6,1.0
3,1,4,5,2,6,1.0
3,1,4,6,2,6,1.0
3,1,4,7,1,6,1.0
3,1,4,7,2,11,1.0
3,1,4,8,1,6,1.0
3,1,4,9,2,6,1.0
3,2,2,13,1,6,1.0
3,2,2,20,2,6,1.0
3,2,3,14,2,6,1.0
3,2,4,5,1,6,1.0
3,2,4,6,1,6,1.0
3,2,4,8,2,6,1.0
3,2,4,9,1,6,1.0
3,3,2,23,2,6,1.0
3,3,2,27,2,16,1.0
3,3,2,29,2,6,1.0
3,4,2,13,2,6,1.0
3,4,2,22,1,6,1.0
3,4,2,23,1,6,1.0
3,4,3,26,1,6,1.0
3,5,1,30,2,17,1.0
3,5,2,22,2,6,1.0
3,8,1,15,2,4,1.0
3,8,1,20,1,17,1.0
3,9,1,16,1,42,1.0
3,9,1,16,2,42,1.0
3,9,1,19,1,41,1.0
3,9,1,19,2,41,1.0
3,9,1,21,1,41,1.0
3,9,1,21,2,41,1.0
3,9,1,28,1,41,1.0
3,9,1,28,2,41,1.0
3,10,2,15,1,16,1.0
3,12,1,26,2,37,1.0
4,1,1,9,2,11,1.0
4,1,1,22,2,9,1.0
4,1,2,22,1,6,1.0
4,1,2,26,2,6,1.0
4,1,2,28,1,6,1.0
4,1,3,14,2,6,1.0
4,2,1,7,2,9,1.0
4,2,1,21,2,9,1.0
4,2,2,21,1,6,1.0
4,2,3,6,1,6,1.0
4,2,3,14,1,6,1.0
4,3,1,23,1,9,1.0
4,3,2,8,1,6,1.0
4,3,2,9,1,6,1.0
4,3,3,6,2,6,1.0
4,4,2,15,1,6,1.0
4,4,3,13,1,6,1.0
4,4,3,13,2,6,1.0
4,5,1,16,1,17,1.0
4,5,1,19,1,17,1.0
4,5,1,28,2,17,1.0
4,6,2,27,1,6,1.0
4,8,1,8,2,17,1.0
4,8,1,19,2,17,1.0
4,8,1,27,2,17,1.0
4,8,1,30,1,17,1.0
4,8,2,26,1,16,1.0
4,9,1,29,1,41,1.0
4,9,1,29,2,41,1.0
4,10,1,16,2,42,1.0
4,10,1,20,1,41,1.0
4,10,1,20,2,41,1.0
4,10,2,7,1,16,1.0
6,1,1,14,2,8,1.0
6,1,1,15,2,9,1.0
6,1,2,22,2,6,1.0
