t,s,d,j,i,valor
1,1,5,1,11,1.0
1,1,5,2,4,1.0
1,1,6,1,11,1.0
1,1,6,2,11,1.0
1,1,8,1,4,1.0
1,1,8,2,4,1.0
1,1,9,1,13,1.0
1,1,9,2,13,1.0
1,1,13,1,4,1.0
1,1,13,2,11,1.0
1,1,14,1,11,1.0
1,1,14,2,13,1.0
1,1,16,1,4,1.0
1,1,16,2,11,1.0
1,1,19,1,11,1.0
1,1,19,2,13,1.0
1,1,20,1,4,1.0
1,1,20,2,4,1.0
1,1,21,1,13,1.0
1,1,21,2,13,1.0
1,1,22,1,41,1.0
1,1,22,2,41,1.0
1,1,27,1,4,1.0
1,1,27,2,4,1.0
1,1,29,1,41,1.0
1,1,29,2,41,1.0
1,1,30,1,11,1.0
1,1,30,2,13,1.0
1,5,7,1,53,1.0
1,5,15,1,53,1.0
1,5,23,1,53,1.0
1,5,28,1,53,1.0
2,1,8,1,17,1.0
2,1,9,2,17,1.0
2,1,13,2,17,1.0
2,1,14,2,17,1.0
2,1,19,1,17,1.0
2,1,20,2,9,1.0
2,1,22,1,41,1.0
2,1,22,2,41,1.0
2,1,23,2,17,1.0
2,1,24,1,17,1.0
2,1,28,1,41,1.0
2,1,28,2,41,1.0
2,1,29,1,17,1.0
2,2,8,2,6,1.0
2,2,9,1,16,1.0
2,2,13,1,6,1.0
2,2,15,1,16,1.0
2,2,15,2,6,1.0
2,2,16,1,6,1.0
2,2,16,2,6,1.0
2,2,19,2,6,1.0
2,2,20,1,6,1.0
2,2,23,1,6,1.0
2,2,27,1,6,1.0
2,2,27,2,12,1.0
2,2,29,2,6,1.0
2,2,30,1,12,1.0
2,3,5,1,6,1.0
2,3,5,2,6,1.0
2,3,6,1,6,1.0
2,3,6,2,6,1.0
2,3,7,1,6,1.0
2,3,7,2,6,1.0
2,3,17,1,6,1.0
2,3,21,1,6,1.0
2,3,21,2,6,1.0
2,3,26,1,6,1.0
2,3,26,2,6,1.0
3,1,15,1,17,1.0
3,1,16,2,42,1.0
3,1,19,1,41,1.0
3,1,19,2,41,1.0
3,1,21,1,41,1.0
3,1,21,2,41,1.0
3,1,22,2,17,1.0
3,1,23,1,41,1.0
3,1,23,2,41,1.0
3,1,26,1,17,1.0
3,1,27,1,41,1.0
3,1,27,2,41,1.0
3,1,28,2,17,1.0
3,1,29,1,41,1.0
3,1,29,2,41,1.0
3,2,14,1,16,1.0
3,2,14,2,6,1.0
3,2,15,2,6,1.0
3,2,16,1,6,1.0
3,2,22,1,6,1.0
3,2,26,2,16,1.0
3,2,28,1,6,1.0
3,3,20,1,6,1.0
3,3,20,2,6,1.0
3,3,30,1,6,1.0
3,3,30,2,6,1.0
3,4,5,1,6,1.0
3,4,5,2,6,1.0
3,4,6,1,6,1.0
3,4,6,2,6,1.0
3,4,7,1,6,1.0
3,4,7,2,6,1.0
3,4,8,1,6,1.0
3,4,8,2,6,1.0
3,4,9,1,6,1.0
3,4,9,2,6,1.0
4,1,7,1,17,1.0
4,1,8,2,4,1.0
4,1,9,1,9,1.0
4,1,13,1,9,1.0
4,1,15,2,17,1.0
4,1,16,1,42,1.0
4,1,16,2,17,1.0
4,1,20,1,41,1.0
4,1,20,2,41,1.0
4,1,21,1,41,1.0
4,1,21,2,41,1.0
4,1,22,1,17,1.0
4,1,23,1,17,1.0
4,1,26,1,9,1.0
4,1,26,2,9,1.0
4,1,27,1,41,1.0
4,1,27,2,41,1.0
4,1,28,1,41,1.0
4,1,28,2,41,1.0
4,1,29,1,9,1.0
4,2,6,1,16,1.0
4,2,6,2,6,1.0
4,2,7,2,16,1.0
4,2,8,1,6,1.0
4,2,9,2,6,1.0
4,2,13,2,6,1.0
4,2,14,1,16,1.0
4,2,14,2,16,1.0
4,2,15,1,16,1.0
4,2,22,2,16,1.0
4,2,29,2,6,1.0
4,2,30,1,6,1.0
4,3,19,1,6,1.0
4,3,19,2,6,1.0
6,1,6,1,7,1.0
6,1,7,2,9,1.0
6,1,8,2,7,1.0
6,1,9,2,8,1.0
6,1,10,1,17,1.0
6,1,14,1,17,1.0
6,1,15,2,17,1.0
6,1,26,2,7,1.0
6,1,28,2,8,1.0
6,1,29,2,17,1.0
6,1,30,1,17,1.0
6,1,31,1,17,1.0
6,2,6,2,6,1.0
6,2,7,1,6,1.0
6,2,8,1,6,1.0
6,2,9,1,16,1.0
6,2,14,2,6,1.0
6,2,15,1,6,1.0
6,2,26,1,6,1.0
6,2,27,1,6,1.0
6,2,27,2,6,1.0
6,2,28,1,16,1.0
6,2,29,1,6,1.0
6,2,30,2,16,1.0
6,3,13,1,6,1.0
6,3,13,2,6,1.0
6,3,16,2,6,1.0
6,3,17,1,6,1.0
6,4,19,1,6,1.0
6,4,19,2,6,1.0
6,4,20,1,6,1.0
6,4,20,2,6,1.0
6,4,21,1,6,1.0
6,4,21,2,11,1.0
6,4,22,1,6,1.0
6,4,22,2,6,1.0
6,4,23,1,6,1.0
6,4,23,2,6,1.0
7,1,5,1,17,1.0
7,1,5,2,17,1.0
7,1,8,2,17,1.0
7,1,9,1,17,1.0
7,1,10,1,17,1.0
7,1,15,1,9,1.0
7,1,17,1,17,1.0
7,1,19,2,9,1.0
7,1,21,2,17,1.0
7,2,7,1,12,1.0
7,2,7,2,12,1.0
7,2,8,1,6,1.0
7,2,9,2,6,1.0
7,2,13,1,6,1.0
7,2,13,2,6,1.0
7,2,15,2,6,1.0
7,2,16,1,6,1.0
7,2,16,2,6,1.0
7,2,19,1,6,1.0
7,2,21,1,6,1.0
7,2,22,1,6,1.0
7,2,22,2,6,1.0
7,3,6,2,6,1.0
7,3,14,1,6,1.0
7,3,14,2,6,1.0
7,3,20,1,6,1.0
7,3,20,2,6,1.0
7,3,23,1,6,1.0
7,3,23,2,6,1.0
8,1,6,1,17,1.0
8,1,7,2,9,1.0
8,1,9,1,17,1.0
8,1,9,2,17,1.0
8,1,13,2,17,1.0
8,1,14,2,12,1.0
8,1,15,1,17,1.0
8,1,16,1,42,1.0
8,1,16,2,42,1.0
8,1,19,2,17,1.0
8,1,20,2,17,1.0
8,1,22,1,9,1.0
8,1,22,2,17,1.0
8,1,23,1,17,1.0
8,1,24,1,9,1.0
8,1,26,1,17,1.0
8,1,26,2,17,1.0
8,1,29,2,9,1.0
8,1,30,2,17,1.0
8,1,31,1,17,1.0
8,2,6,2,6,1.0
8,2,7,1,6,1.0
8,2,10,1,6,1.0
8,2,14,1,6,1.0
8,2,15,2,6,1.0
8,2,17,1,6,1.0
8,2,19,1,6,1.0
8,2,20,1,6,1.0
8,2,23,2,6,1.0
8,2,28,1,6,1.0
8,2,28,2,6,1.0
8,2,29,1,6,1.0
8,2,30,1,6,1.0
8,3,8,1,6,1.0
8,3,8,2,6,1.0
8,3,21,2,6,1.0
8,3,27,1,6,1.0
8,3,27,2,6,1.0
9,1,6,1,3,1.0
9,1,7,1,39,1.0
9,1,13,1,39,1.0
9,1,13,2,39,1.0
9,1,14,1,3,1.0
9,1,14,2,39,1.0
9,1,15,1,9,1.0
9,1,15,2,39,1.0
9,1,20,1,3,1.0
9,1,26,1,39,1.0
9,1,26,2,39,1.0
9,1,27,1,17,1.0
9,1,27,2,17,1.0
9,1,28,1,17,1.0
9,1,29,1,3,1.0
9,1,29,2,3,1.0
9,1,30,1,3,1.0
9,2,8,1,6,1.0
9,2,16,1,6,1.0
